Date,Open,High,Low,Close,Volume
13-Mar-14,126.94,127.16,123.05,123.28,852109
12-Mar-14,126.46,127.64,125.80,126.68,423045
11-Mar-14,129.11,130.32,128.33,128.52,271418
10-Mar-14,128.91,128.94,126.84,128.09,275344
7-Mar-14,131.23,131.23,128.67,129.25,435545
6-Mar-14,131.92,132.62,131.70,132.37,317549
5-Mar-14,131.14,131.75,130.88,131.52,349081
4-Mar-14,130.97,131.25,130.59,130.91,321950
3-Mar-14,129.31,129.87,127.59,127.99,877047
28-Feb-14,132.29,133.75,132.22,133.13,338291
27-Feb-14,130.75,131.79,130.26,131.70,199615
26-Feb-14,132.39,132.57,131.19,131.70,509421
25-Feb-14,132.99,133.23,131.68,132.49,545663
24-Feb-14,130.11,131.58,130.07,130.97,280301
21-Feb-14,129.88,130.67,129.61,129.71,272619
20-Feb-14,129.56,130.37,128.86,130.13,260065
19-Feb-14,130.43,131.43,129.94,130.13,304009
18-Feb-14,130.74,130.88,129.88,130.18,291250
14-Feb-14,129.94,130.51,129.69,130.32,339737
13-Feb-14,127.84,129.32,127.84,129.27,429695
12-Feb-14,128.59,128.94,127.95,128.53,252413
11-Feb-14,127.48,129.07,127.34,128.95,356972
10-Feb-14,127.92,128.00,127.08,127.35,196415
7-Feb-14,127.37,127.81,126.71,127.59,716486
6-Feb-14,124.80,126.81,124.79,126.81,420460
5-Feb-14,124.34,124.92,124.21,124.42,604890
4-Feb-14,124.48,124.84,123.89,124.25,407772
3-Feb-14,126.58,126.90,123.88,124.00,817456
31-Jan-14,124.50,127.06,124.38,126.29,947639
30-Jan-14,129.01,129.08,126.81,127.50,2819674
29-Jan-14,128.96,130.02,128.04,128.56,1321961
28-Jan-14,133.25,135.11,132.81,134.21,535093
27-Jan-14,132.35,133.66,131.85,132.34,452381
24-Jan-14,134.02,134.09,130.67,130.67,738398
23-Jan-14,134.28,134.31,133.43,134.08,327501
22-Jan-14,134.22,134.44,133.27,133.86,447226
21-Jan-14,135.95,136.49,135.17,136.36,458687
17-Jan-14,135.63,136.44,135.07,135.43,563068
16-Jan-14,137.30,137.33,134.84,135.15,648879
15-Jan-14,136.22,137.94,136.18,137.85,467031
14-Jan-14,133.78,135.70,133.65,135.35,330893
13-Jan-14,134.11,134.67,133.34,133.38,323939
10-Jan-14,133.67,134.40,133.50,134.35,595017
9-Jan-14,134.05,134.45,132.78,133.79,703597
8-Jan-14,134.32,134.33,133.30,133.97,838309
7-Jan-14,135.12,136.23,134.66,136.05,529139
6-Jan-14,135.91,135.94,135.00,135.00,400806
3-Jan-14,135.45,135.81,135.21,135.35,221851
